"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-03","12.08",,"39","40","34","   20","   10","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-04","15.21",,"32","35","26","  300","  300","28.0","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-05","7.38",,"32","42","23","  210","  190","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-06","14.32",,"35","38","25","  290","  310","28.0","34.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-07","8.95",,"28","39","20","  320","  300","18.1","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-08","6.93",,"31","39","21","   70","  100","15.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-09","6.04",,"33","39","30","   50","   30","12.1","14.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-10","8.50",,"36","46","28","  250","  230","15.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-11","9.84",,"48","66","39","  240","  240","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-12","14.09",,"56","73","42","  250","  230","25.1","35.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-13","13.20",,"43","47","39","   40","   40","33.1","40.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-14","21.03",,"39","39","36","   60","   30","31.1","40.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-15","13.65",,"35","37","28","   60","   40","23.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-16","14.99",,"31","35","27","  300","  300","23.9","31.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-17","11.18",,"35","43","29","  320","  300","21.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-18","11.63",,"35","37","30","   80","   80","25.1","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-19","9.84",,"39","55","31","  330","   20","15.0","21.9"
