,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz,HomeTeam,AwayTeam
1103,2013020426,20132014,R,2013-12-06T00:30:00Z,9,14,1,3,home win REG,left,Tampa Bay Times Forum,/api/v1/venues/null,America/New_York,-4,EDT,Tampa Bay,Ottawa
1421,2013020427,20132014,R,2013-12-06T00:30:00Z,52,13,2,5,home win REG,right,BB&T Center,/api/v1/venues/null,America/New_York,-4,EDT,Florida,Winnipeg
1780,2013020425,20132014,R,2013-12-06T00:30:00Z,6,8,1,2,home win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT,Montreal,Boston
1553,2013020428,20132014,R,2013-12-06T01:00:00Z,2,19,1,5,home win REG,left,Scottrade Center,/api/v1/venues/null,America/Chicago,-5,CDT,St Louis,NY Islanders
1628,2013020429,20132014,R,2013-12-06T01:00:00Z,12,18,5,2,away win REG,left,Bridgestone Arena,/api/v1/venues/null,America/Chicago,-5,CDT,Nashville,Carolina
2083,2013020430,20132014,R,2013-12-06T01:00:00Z,16,30,3,4,home win REG,right,Xcel Energy Center,/api/v1/venues/null,America/Chicago,-5,CDT,Minnesota,Chicago
1416,2013020431,20132014,R,2013-12-06T02:30:00Z,21,22,2,8,home win REG,left,Rexall Place,/api/v1/venues/null,America/Edmonton,-6,MDT,Edmonton,Colorado
970,2013020434,20132014,R,2013-12-07T00:00:00Z,30,29,0,4,home win REG,left,Nationwide Arena,/api/v1/venues/null,America/New_York,-4,EDT,Columbus,Minnesota
1462,2013020433,20132014,R,2013-12-07T00:00:00Z,28,12,3,5,home win REG,right,PNC Arena,/api/v1/venues/null,America/New_York,-4,EDT,Carolina,San Jose
2087,2013020432,20132014,R,2013-12-07T00:00:00Z,17,1,3,1,away win REG,left,Prudential Center,/api/v1/venues/null,America/New_York,-4,EDT,New Jersey,Detroit
1581,2013020435,20132014,R,2013-12-07T01:00:00Z,24,16,3,2,away win SO,right,United Center,/api/v1/venues/null,America/Chicago,-5,CDT,Chicago,Anaheim
1162,2013020436,20132014,R,2013-12-07T02:00:00Z,21,20,3,2,away win REG,right,Scotiabank Saddledome,/api/v1/venues/null,America/Denver,-6,MDT,Calgary,Colorado
2078,2013020437,20132014,R,2013-12-07T03:00:00Z,27,23,2,3,home win OT,right,Rogers Arena,/api/v1/venues/null,America/Vancouver,-7,PDT,Vancouver,Phoenix
931,2013020446,20132014,R,2013-12-07T19:00:00Z,4,25,1,5,home win REG,right,American Airlines Center,/api/v1/venues/null,America/Chicago,-5,CDT,Dallas,Philadelphia
909,2013020442,20132014,R,2013-12-08T00:00:00Z,52,14,2,1,away win OT,left,Tampa Bay Times Forum,/api/v1/venues/null,America/New_York,-4,EDT,Tampa Bay,Winnipeg
1068,2013020443,20132014,R,2013-12-08T00:00:00Z,18,15,2,5,home win REG,right,Verizon Center,/api/v1/venues/null,America/New_York,-4,EDT,Washington,Nashville
1332,2013020439,20132014,R,2013-12-08T00:00:00Z,7,8,2,3,home win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT,Montreal,Buffalo
1396,2013020438,20132014,R,2013-12-08T00:00:00Z,5,6,2,3,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT,Boston,Pittsburgh
1642,2013020441,20132014,R,2013-12-08T00:00:00Z,13,17,2,1,away win REG,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit,-4,EDT,Detroit,Florida
